,Samples,Tg (°C),Tb -5% (°C),Storage modulus (150°C) (MPa),Storage modulus (200°C) (MPa),Storage modulus (250°C) (MPa),Vectors,Ref
0,Epoxy,280.7,302.0,3197.0,3013.0,1794.0,['EP'],j.compositesb.2018.12.030_27_0
1,Epoxy/GO (0.35 wt%),281.3,333.0,3296.0,2343.0,2233.0,"['EP', 'GO(0.0035)']",j.compositesb.2018.12.030_27_0
2,Epoxy/GO (0.7 wt%),280.9,341.0,3127.0,2890.0,2078.0,"['EP', 'GO(0.007)']",j.compositesb.2018.12.030_27_0
3,Epoxy/GO (1.05 wt%),277.6,330.0,3145.0,2991.0,1983.0,"['EP', 'GO(0.0105)']",j.compositesb.2018.12.030_27_0
4,Epoxy/GO (1.4 wt%),277.1,309.0,2787.0,2830.0,1796.0,"['EP', 'GO(0.014)']",j.compositesb.2018.12.030_27_0
5,Epoxy/GO-g-PAA (0.35 wt%),282.7,323.0,3641.0,3445.0,2473.0,"['EP', 'GO-g-PAA(0.0035)']",j.compositesb.2018.12.030_27_0
6,Epoxy/GO-g-PAA (0.7 wt%),282.5,326.0,4285.0,4108.0,2791.0,"['EP', 'GO-g-PAA(0.007)']",j.compositesb.2018.12.030_27_0
7,Epoxy/GO-g-PAA (1.05 wt%),282.8,324.0,3715.0,3521.0,2494.0,"['EP', 'GO-g-PAA(0.0105)']",j.compositesb.2018.12.030_27_0
8,Epoxy/GO-g-PAA (1.4 wt%),283.8,303.0,3367.0,3185.0,2371.0,"['EP', 'GO-g-PAA(0.014)']",j.compositesb.2018.12.030_27_0
