,Samples,"DMA , (C)","TGA Td5% ,","TGA (C) Td50% C,",TGA (C) Weight loss (%),Vectors,Ref
0,DGEBA,137.0,383.0,438.0,87.0,['DGEBA'],j.compositesb.2015.01.043_5_0
1,DGEBA/DG-PDMS,127.0,400.0,440.0,88.0,"['DGEBA', 'DG-PDMS']",j.compositesb.2015.01.043_5_0
2,DGEBA/DG-PDMS/MEP-POSS,132.0,318.0,440.0,83.0,"['DGEBA', 'DG-PDMS', 'MEP-POSS']",j.compositesb.2015.01.043_5_0
3,DGEBA/DG-PDMS/OEP-POSS,158.0,335.0,445.0,80.0,"['DGEBA', 'DG-PDMS', 'OEP-POSS']",j.compositesb.2015.01.043_5_0
