,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),FPI (m ²/swk,FGR (kW/m²s),PSPR (m²/s),TSP (m²),AEHC (MJ/kg),RW (%),Vectors,TTI (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,FPI (m ²/swk_err,FGR (kW/m²s)_err,PSPR (m²/s)_err,TSP (m²)_err,AEHC (MJ/kg)_err,RW (%)_err,Ref
0,EP/DDM,62.0,1311.0,87.5,0.047,11.8,0.453,35.4,24.4,10.3,"['EP', 'DDM']",3.0,61.0,4.1,0.003,0.6,0.022,2.0,1.2,0.5,j.cej.2021.131578_7_0
1,EP/DDM/DA-3,41.0,1171.0,85.9,0.035,12.3,0.537,35.0,23.8,14.9,"['EP', 'DDM', 'DA(3)']",2.0,56.0,4.2,0.002,0.5,0.025,1.8,1.2,0.7,j.cej.2021.131578_7_0
2,EP/DDM/PD-3,39.0,1184.0,86.2,0.033,12.2,0.589,38.6,23.5,12.4,"['EP', 'DDM', 'PD(3)']",2.0,57.0,3.8,0.002,0.5,0.03,2.2,1.0,0.6,j.cej.2021.131578_7_0
3,EP/DDM/PB-1,80.0,1193.0,83.7,0.067,8.5,0.34,30.9,23.8,13.1,"['EP', 'DDM', 'PB(1)']",4.0,54.0,3.9,0.004,0.3,0.017,1.5,1.3,0.7,j.cej.2021.131578_7_0
4,EP/DDM/PB-2,74.0,1146.0,83.3,0.065,8.8,0.317,27.6,23.5,16.1,"['EP', 'DDM', 'PB(2)']",3.0,48.0,3.7,0.003,0.2,0.022,1.3,1.1,0.8,j.cej.2021.131578_7_0
5,EP/DDM/PB-3,70.0,989.0,76.7,0.071,7.9,0.307,27.4,23.5,16.3,"['EP', 'DDM', 'PB(3)']",2.0,45.0,4.0,0.003,0.3,0.019,1.4,1.3,0.8,j.cej.2021.131578_7_0
6,EP/DDM/PB-5,66.0,923.0,78.2,0.072,7.1,0.286,25.6,23.2,20.8,"['EP', 'DDM', 'PB(5)']",3.0,46.0,3.6,0.004,0.3,0.018,1.3,1.1,1.0,j.cej.2021.131578_7_0
