,Samples,Jeffamine Molecule,,Epon Molecule,Vectors,Ref
0,Epon/J230,Jeffamine D-230 (n 225.7 g/mol),2.6,"Epon 825 (n 0.13, MW 378.8 g/mol)","['Epon', 'J(230)']",j.compositesb.2020.107814_3_0
1,Epon/J400,Jeffamine D-400 (n 429.5 g/mol),6.1,,"['Epon', 'J(400)']",j.compositesb.2020.107814_3_0
2,Epon/J600,Jeffamine D-600 (n 598.4 g/mol),9.0,,"['Epon', 'J(600)']",j.compositesb.2020.107814_3_0
