,Samples,DGEBA (g),DDM (g),BPS-BPP (g),BPS-BPP (wt%),Vectors,Ref
0,EP,80.0,21.5,-,-,['EP'],j.polymdegradstab.2016.11.023_2_0
1,EP/3%BPS-BPP,80.0,21.5,3.1,3.0,"['EP', '(0.03)BPS-BPP']",j.polymdegradstab.2016.11.023_2_0
2,EP/6%BPS-BPP,80.0,21.5,6.5,6.0,"['EP', '(0.06)BPS-BPP']",j.polymdegradstab.2016.11.023_2_0
3,EP/9%BPS-BPP,80.0,21.5,10.0,9.0,"['EP', '(0.09)BPS-BPP']",j.polymdegradstab.2016.11.023_2_0
4,EP/12%BPS-BPP,80.0,21.5,13.8,12.0,"['EP', '(0.12)BPS-BPP']",j.polymdegradstab.2016.11.023_2_0
