,Samples,DMTA E'30 (MPa),DMTA T (°C),DMTA Tan Smax,TGA T5 (°C),TGA T50 (°C),TGA Residue (800 °C) (wt. %),Vectors,Ref
0,Pure EP,2540.0,73.82,0.6742,355.7,385.4,7.685,['EP'],j.compscitech.2018.04.035_7_0
1,E/Mt-0.5,2658.0,76.99,0.6275,357.9,388.8,8.35,"['E', 'Mt(0.5)']",j.compscitech.2018.04.035_7_0
2,E/MWCNT-0.5,2719.0,78.06,0.5948,361.4,393.4,8.656,"['E', 'MWCNT(0.5)']",j.compscitech.2018.04.035_7_0
3,E/MM-0.1,2672.0,75.88,0.6488,359.7,390.8,8.423,"['E', 'MM(0.1)']",j.compscitech.2018.04.035_7_0
4,E/MM-0.3,2775.0,79.07,0.5792,362.6,396.5,9.295,"['E', 'MM(0.3)']",j.compscitech.2018.04.035_7_0
5,E/MM-0.5,3078.0,83.97,0.4437,371.0,403.6,10.66,"['E', 'MM(0.5)']",j.compscitech.2018.04.035_7_0
6,E/MM-0.7,2887.0,81.0,0.4925,366.4,399.5,8.867,"['E', 'MM(0.7)']",j.compscitech.2018.04.035_7_0
