,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),FRI,Vectors,Ref
0,PH-ODA-EP/DDM,18.0,95.3,42.9,14.1,"['PH-ODA-EP', 'DDM']",j.cej.2019.123667_48_3
1,DGEBA/DDM,50.0,1045.4,153.2,1.0,"['DGEBA', 'DDM']",j.cej.2019.123667_48_3
