,Samples,epoxy resin (vol %),dom (um),R81 b (nm),91 b (nm-1),sib,db,°C°),Vectors,R81 b (nm)_err,°C°)_err,Ref
0,epoxy resin,100.0,,,,,,148.5,['EPresin'],,0.5,acs.macromol.6b01649_4_0
1,95E,95.0,4.5,,,,3.2,158.0,['95E'],,2.0,acs.macromol.6b01649_4_0
2,90E,90.0,4.2,33.7,0.017,2.5,3.8,150.1,['90E'],0.2,0.6,acs.macromol.6b01649_4_0
3,80E,80.0,3.7,19.3,0.041,2.3,4.1,145.0,['80E'],0.1,3.0,acs.macromol.6b01649_4_0
4,70E,70.0,2.8,19.8,0.033,2.5,4.2,134.0,['70E'],0.1,3.0,acs.macromol.6b01649_4_0
5,50E,50.0,3.2,22.3,0.024,2.6,4.0,156.0,['50E'],0.2,6.0,acs.macromol.6b01649_4_0
6,30E,30.0,3.5,63.8,0.014,2.2,4.1,161.0,['30E'],0.8,3.0,acs.macromol.6b01649_4_0
7,20E,20.0,3.1,50.6,0.011,2.6,4.0,163.8,['20E'],1.0,0.4,acs.macromol.6b01649_4_0
8,PDCPD,0.0,,,,,,171.0,['PDCPD'],,2.0,acs.macromol.6b01649_4_0
