,Samples,Tg (°C),E (30 °C) (MPa),E (Tg+30°C) (MPa),Ue (mol/m³),Vectors,Ref
0,EP,151.0,1896.2,15.0,1.32,['EP'],j.polymdegradstab.2021.109715_5_1
1,EP/Tetra-DOPO-2.5,165.0,1850.3,18.0,1.54,"['EP', 'Tetra-DOPO(2.5)']",j.polymdegradstab.2021.109715_5_1
2,EP/Tetra-DOPO-5.0,161.0,1962.1,16.7,1.44,"['EP', 'Tetra-DOPO(5.0)']",j.polymdegradstab.2021.109715_5_1
