,Samples,IDT (°C),Tmax (°C),Ed (kJ/mol),GIIIC (J/m²,Tensile strength (MPa),Elongation at break (%),GIIIC (J/m²_err,Tensile strength (MPa)_err,Elongation at break (%)_err,Tg (°C),"CTE (x10-5,°C-1) Glassy region","CTE (x10-5,°C-1) Rubbery region",Tg (°C)_err,"CTE (x10-5,°C-1) Glassy region_err","CTE (x10-5,°C-1) Rubbery region_err",Vectors,Ref
0,ECO/BPH,351.0,395.0,128.0,315.0,1.7,23.0,12.0,0.1,1.0,38.0,10.8,20.5,1.0,0.2,0.3,"['ECO', 'BPH']",j.eurpolymj.2004.09.011
1,ECO/BQH,344.0,394.0,119.0,425.0,2.5,26.0,17.0,0.1,1.0,30.0,11.8,21.1,1.0,0.3,0.3,"['ECO', 'BQH']",j.eurpolymj.2004.09.011
