,Samples,EP,OPS,PEPA,APP,DOPO,Si content,P Content,Tonset (°C),Tmax (°C),Residues at 800 ° C (%),TTI (s),PHRR (kW/m²),THR (MJ/m²),TSR (m²/m²),SEA (m²/kg),COY (kg/kg),CO₂Y (kg/kg),TTI (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,TSR (m²/m²)_err,SEA (m²/kg)_err,COY (kg/kg)_err,CO₂Y (kg/kg)_err,Vectors,Ref
0,EP/APP,97.1,,/,2.9,/,/,0.9,376.0,410.0,20.2,61.0,1087.0,96.0,3782.0,974.0,0.11,2.16,2.0,30.0,2.0,190.0,23.0,0.01,0.01,"['EP', 'APP']",j.polymdegradstab.2014.07.023
1,EP/DOPO,93.7,/,,/,6.3,/,0.9,365.0,394.0,16.8,55.0,684.0,76.0,3800.0,1324.0,0.13,1.67,1.0,28.0,1.0,186.0,39.0,0.01,0.01,"['EP', 'DOPO']",j.polymdegradstab.2014.07.023
2,EP/OPS,95.9,4.1,/,/,/,0.9,/,401.0,427.0,17.8,55.0,626.0,112.0,3729.0,899.0,0.08,2.0,1.0,30.0,2.0,188.0,35.0,0.01,0.01,"['EP', 'OPS']",j.polymdegradstab.2014.07.023
3,EP/OPS/APP,96.5,2.1,/,1.4,,0.45,0.45,375.0,416.0,21.0,63.0,584.0,101.0,3895.0,943.0,0.09,2.05,2.0,28.0,3.0,212.0,38.0,0.01,0.01,"['EP', 'OPS', 'APP']",j.polymdegradstab.2014.07.023
4,EP/OPS/DOPO,94.8,2.1,/,,3.1,0.45,0.45,376.0,404.0,18.8,55.0,548.0,83.0,3899.0,1039.0,0.13,1.91,1.0,23.0,2.0,160.0,43.0,0.01,0.01,"['EP', 'OPS', 'DOPO']",j.polymdegradstab.2014.07.023
5,EP/OPS/PEPA,95.3,2.1,2.6,/,,0.45,0.45,357.0,398.0,22.8,52.0,524.0,84.0,3594.0,961.0,0.1,1.96,2.0,25.0,2.0,193.0,36.0,0.01,0.01,"['EP', 'OPS', 'PEPA']",j.polymdegradstab.2014.07.023
6,EP/PEPA,94.8,/,5.2,/,,,0.9,349.0,390.0,26.1,53.0,538.0,78.0,3196.0,936.0,0.11,2.0,2.0,24.0,2.0,156.0,34.0,0.01,0.01,"['EP', 'PEPA']",j.polymdegradstab.2014.07.023
7,Pure EP,100.0,/,/,/,/,/,/,395.0,431.0,12.0,50.0,860.0,112.0,4182.0,897.0,0.07,1.82,2.0,22.0,3.0,210.0,30.0,0.01,0.01,['EP'],j.polymdegradstab.2014.07.023
