,Samples,P content (%),LOI (%),UL-94,HRR (kW/m²),PHRR (kW/m²),EHC (MJ/kg),THR (MJ/m²),COY (kg/kg),CO₂Y (kg/kg),TSP (m²),Char yields TOF (%),DGEBA (g),DDM (g),TMT (g),DOPO (g),TMT content (wt%),P content (wt%),T5% (°C),Tmax (°C),Char yields (800 °C) (%),Vectors,Ref
0,EP,0.0,24.5,NR,208.0,1557.0,25.4,94.5,0.085,1.659,34.0,6.2,100.0,26.2,0.0,0.0,0.0,0.0,370.0,390.0,18.4,['EP'],j.polymdegradstab.2015.10.006
1,EP/DOPO,1.0,35.2,V-1,142.0,1301.0,20.2,65.0,0.105,1.122,32.8,18.8,100.0,24.1,0.0,9.5,0.0,1.0,339.0,378.0,19.5,"['EP', 'DOPO']",j.polymdegradstab.2015.10.006
2,EP/TMT,0.0,27.0,NR,194.0,1395.0,24.8,88.4,0.089,1.661,26.3,10.5,100.0,28.8,11.3,0.0,8.0,0.0,363.0,386.0,21.0,"['EP', 'TMT']",j.polymdegradstab.2015.10.006
3,EP/TMT/DOPO-0.4,0.4,34.0,V-1,160.0,1210.0,21.0,74.7,0.095,1.405,25.4,17.0,100.0,28.1,12.0,4.0,8.3,0.4,347.0,380.0,20.5,"['EP', 'TMT', 'DOPO(0.4)']",j.polymdegradstab.2015.10.006
4,EP/TMT/DOPO-0.6,0.6,36.5,V-0,153.0,1085.0,21.0,70.3,0.107,1.372,24.8,18.9,100.0,27.6,12.0,6.0,8.2,0.6,342.0,374.0,22.2,"['EP', 'TMT', 'DOPO(0.6)']",j.polymdegradstab.2015.10.006
5,EP/TMT/DOPO-0.8,0.8,38.0,V-0,154.0,1105.0,20.7,70.8,0.115,1.223,25.0,18.6,100.0,27.1,12.0,8.3,8.1,0.8,340.0,370.0,22.7,"['EP', 'TMT', 'DOPO(0.8)']",j.polymdegradstab.2015.10.006
6,EP/TMT/DOPO-1.0,1.0,40.3,V-0,131.0,980.0,17.3,61.0,0.121,1.081,26.7,21.3,100.0,26.6,12.0,10.5,8.0,1.0,337.0,365.0,24.0,"['EP', 'TMT', 'DOPO(1.0)']",j.polymdegradstab.2015.10.006
