,Samples,Tg (°C),G' (MPa),Ts(MPa),Eb(%),Tensile modulus (MPa),G' (MPa)_err,Ts(MPa)_err,Eb(%)_err,Tensile modulus (MPa)_err,PHRR (kW/m²),THR (MJ/m²),PSPR (m²/s),TSP (m²),Residue at 400 s (wt%),PHRR (kW/m²)_err,THR (MJ/m²)_err,PSPR (m²/s)_err,TSP (m²)_err,Residue at 400 s (wt%)_err,LOI (%),UL-94,vertical burning test,.1,Vectors,Ref
0,EP,210.0,1833.0,44.0,4.2,1326.0,49.0,4.0,0.8,57.0,877.0,107.0,0.27,38.0,10.5,41.0,6.0,0.02,2.0,1.2,24.2,NR,No,No,['EP'],j.cej.2019.122046
1,EP/2LDH-CD-Ferr,,,,,,,,,,732.0,100.0,0.26,29.0,17.3,33.0,6.0,0.02,2.0,1.6,28.5,NR,Yes,Weak,"['EP/2LDH', 'CD', 'Ferr']",j.cej.2019.122046
2,EP/4LDH-CD-Ferr,,,,,,,,,,550.0,99.0,0.23,28.0,19.1,30.0,5.0,0.02,2.0,1.8,28.9,V-1,Yes,Medium,"['EP/4LDH', 'CD', 'Ferr']",j.cej.2019.122046
3,EP/6LDH-CD,210.0,2064.0,36.0,3.4,1575.0,56.0,3.0,0.3,62.0,667.0,101.0,0.27,32.0,13.6,36.0,6.0,0.02,2.0,1.5,25.4,NR,No,Weak,"['EP/6LDH', 'CD']",j.cej.2019.122046
4,EP/6LDH-CD + Ferr,210.0,2071.0,38.0,3.4,1462.0,52.0,3.0,0.5,54.0,659.0,99.0,0.21,27.0,17.3,34.0,6.0,0.01,2.0,1.7,27.8,NR,Yes,Weak,"['EP/6LDH', 'CD+Ferr']",j.cej.2019.122046
5,EP/6LDH-CD-Ferr,210.0,2105.0,45.0,3.5,1619.0,60.0,4.0,0.6,68.0,561.0,96.0,0.15,22.0,19.2,25.0,5.0,0.01,1.0,1.6,29.2,V-1,Yes,Strong,"['EP/6LDH', 'CD', 'Ferr']",j.cej.2019.122046
6,EP/8LDH-CD-Ferr,,,,,,,,,,,,,,,,,,,,28.8,NR,Yes,Medium,"['EP/8LDH', 'CD', 'Ferr']",j.cej.2019.122046
