,Samples,Element C,content (wt%) o,content (wt%) P,content (wt%) N,content (wt%) S,P content (wt%),LOI (%),UL-94,Unnamed: 5,T5% (°C),Tmax (°C),Rmax (%/min),Char,yields at temperatures,different (%),Unnamed: 8,DGEBA (g),DDS (g),DOPO (g),DTA (g),P (wt%),TTI,TOF (s),PHRR (kW/m²),HRR (kW/m²),THR (MJ/m²),av-EHC,COY (kg/kg),CO₂Y (kg/kg),CY500,(%),TSR (m²/m²),TSP (m²),Vectors,Ref
0,EP/DDS,,,,,,0.0,22.5,No rating,Yes,383.0,408.0,16.1,23.0,19.6,18.3,17.3,100.0,33.0,0.0,0.0,0.0,47.0,430.0,1208.0,177.0,80.6,22.2,0.063,1.589,10.4,,3812.0,33.7,"['EP', 'DDS']",j.polymdegradstab.2019.03.003
1,EP/DDS/DOPO,,,,,,1.0,34.1,V-1,No,343.0,396.0,15.0,24.0,21.4,20.4,19.6,100.0,33.0,10.0,0.0,1.0,41.0,360.0,833.0,155.0,66.7,19.6,0.095,1.255,20.2,,3268.0,28.9,"['EP', 'DDS', 'DOPO']",j.polymdegradstab.2019.03.003
2,EP/DDS/DTA- 0.25,,,,,,,,,,347.0,403.0,14.9,25.2,22.3,21.3,20.7,,,,,,,,,,,,,,,,,,"['EP', 'DDS', 'DTA(0.25)']",j.polymdegradstab.2019.03.003
3,EP/DDS/DTA- 0.75,,,,,,,,,,339.0,390.0,12.2,28.0,25.2,24.2,23.5,,,,,,,,,,,,,,,,,,"['EP', 'DDS', 'DTA(0.75)']",j.polymdegradstab.2019.03.003
4,EP/DDS/DTA-0.25,,,,,,0.25,30.1,No rating,No,,,,,,,,100.0,31.5,0.0,4.4,0.25,43.0,404.0,1063.0,161.0,72.5,17.2,0.078,1.445,16.7,,3266.0,28.8,"['EP', 'DDS', 'DTA(0.25)']",j.polymdegradstab.2019.03.003
5,EP/DDS/DTA-0.5,,,,,,0.5,34.1,V-1,No,339.0,395.0,13.1,26.1,23.2,22.3,21.5,100.0,30.1,0.0,8.9,0.5,42.0,374.0,766.0,145.0,64.2,16.9,0.094,1.236,18.1,,3147.0,27.8,"['EP', 'DDS', 'DTA(0.5)']",j.polymdegradstab.2019.03.003
6,EP/DDS/DTA-0.75,81.38,9.45,1.37,7.34,0.46,0.75,36.7,V-0,No,,,,,,,,100.0,28.6,0.0,13.7,0.75,40.0,366.0,712.0,137.0,61.1,15.9,0.101,1.224,20.5,,3037.0,26.6,"['EP', 'DDS', 'DTA(0.75)']",j.polymdegradstab.2019.03.003
7,EP/DDS/DTA-1.0,80.02,11.51,1.78,6.38,0.31,1.0,39.6,V-0,No,334.0,383.0,11.4,28.6,25.9,24.9,24.3,100.0,27.1,0.0,18.7,1.0,38.0,348.0,524.0,121.0,52.9,13.2,0.103,1.089,24.4,,2874.0,25.4,"['EP', 'DDS', 'DTA(1.0)']",j.polymdegradstab.2019.03.003
