,Samples,LOI (%),TTI (s),PHRR (kW/m²),THR (MJ/m²),TSR (m²/m²),Mechanism,Residues (%),EHC (MJ/kg),LOI (%)_err,TTI (s)_err,EP,APP-MMT,OPS,DOPO,P content,Si content,Tonset (°C),Tmax (°C),Residues (800 °C) (%),Vectors,Ref
0,APP-MMT (P),2.1,3.0,115.5,20.5,679.3,Intumescence,,,,,,,,,,,,,,['APP-MMT(P)'],j.polymdegradstab.2014.11.017
1,APP-MMT OPS/DOPO,,,38.1,6.78,224.2,Intumescence Blowing-out,,,0.7,1.0,,,,,,,,,,"['APP-MMTOPS', 'DOPO']",j.polymdegradstab.2014.11.017
2,EP/APP -MMT,,60.0,393.0,33.0,1522.0,,39.0,18.0,,,,,,,,,,,,"['EP', 'APP-MMT']",j.polymdegradstab.2014.11.017
3,EP/APP-MMT,,,,,,,,,,,94.8,10.0,/,/,3.3,/,347.0,376.0,30.6,"['EP', 'APP-MMT']",j.polymdegradstab.2014.11.017
4,EP/OPS/ DOPO,,58.0,540.0,82.0,3786.0,,12.0,23.0,,,,,,,,,,,,"['EP', 'OPS', 'DOPO']",j.polymdegradstab.2014.11.017
5,EP/OPS/DOPO,,,,,,,,,,,94.8,/,2.5,2.5,0.54,0.36,380.0,414.0,20.8,"['EP', 'OPS', 'DOPO']",j.polymdegradstab.2014.11.017
6,OPS/DOPO (P+Si),8.9,8.9,307.8,27.1,207.6,Blowing-out,,,,,,,,,,,,,,"['OPS', 'DOPO(P+Si)']",j.polymdegradstab.2014.11.017
7,Pure EP,,50.0,860.0,112.0,4182.0,,7.0,31.0,,,100.0,/,/,/,/,/,398.0,444.0,12.3,['EP'],j.polymdegradstab.2014.11.017
