,Samples,5 °C/min Tp (°C),5 °C/min (J/g),10 °C/min (°C),ΔH (10°C/min) (J/g),15 °C/min Tp (C),15 °C/min AH (I/g),Tp (20°C/min) (°C),20 °C/min (J/g),Kissinger Ek (kJ/mol),method In A (1/s),method n,Ozawa method E (kJ/mol),LOI (%),UL-94,vertical burning testing Flaming drips,vertical burning testing Total flaming time (sec),vertical burning testing Maximal flaming time (sec),Vectors,Ref
0,DGEBA + 10 wt% PN-EPC /MeTHPA,175.41,236.3,190.29,221.1,198.97,214.9,205.91,213.9,73.81,18.28,0.91,77.48,,,,,,"['DGEBA(0.1)PN-EPC', 'MeTHPA']",j.polymdegradstab.2013.02.008
1,DGEBA + 10 wt% PN-EPC3/DDM,153.34,213.2,168.14,228.8,180.67,188.8,187.43,178.2,52.32,13.12,0.88,56.71,,,,,,"['DGEBA(0.1)PN-EPC3', 'DDM']",j.polymdegradstab.2013.02.008
2,DGEBA + 10 wt% PN-EPC3/DICY,174.79,218.0,182.59,254.4,186.88,271.6,205.07,341.7,75.57,29.51,0.94,77.19,,,,,,"['DGEBA(0.1)PN-EPC3', 'DICY']",j.polymdegradstab.2013.02.008
3,DGEBA + 15 wt% PN-EPC / DICY,172.98,235.6,184.69,259.4,194.53,285.2,204.17,251.8,64.47,15.91,0.89,68.54,,,,,,"['DGEBA(0.15)PN-EPC', 'DICY']",j.polymdegradstab.2013.02.008
4,DGEBA + 15 wt% PN-EPC/DDM,154.62,218.2,163.61,258.2,172.27,173.3,176.22,174.0,61.23,15.99,0.89,65.06,,,,,,"['DGEBA(0.15)PN-EPC', 'DDM']",j.polymdegradstab.2013.02.008
5,DGEBA + 15 wt% PN-EPC/MeTHPA,195.93,244.6,210.66,234.2,217.58,233.9,224.79,227.0,86.46,20.72,0.92,89.82,,,,,,"['DGEBA(0.15)PN-EPC', 'MeTHPA']",j.polymdegradstab.2013.02.008
6,DGEBA + 20 wt% PN-EPC /MeTHPA,201.84,307.9,218.9,297.3,226.06,299.6,232.17,289.4,82.77,19.42,0.91,86.41,,,,,,"['DGEBA(0.2)PN-EPC', 'MeTHPA']",j.polymdegradstab.2013.02.008
7,DGEBA + 20 wt% PN-EPC S/DICY,175.09,228.3,184.73,245.4,191.09,131.9,207.85,127.0,80.08,20.31,0.91,83.32,,,,,,"['DGEBA(0.2)PN-EPCS', 'DICY']",j.polymdegradstab.2013.02.008
8,DGEBA + 20 wt% PN-EPC3/DDM,141.35,204.4,157.82,196.5,167.89,174.3,174.04,162.6,57.54,15.09,0.89,61.49,,,,,,"['DGEBA(0.2)PN-EPC3', 'DDM']",j.polymdegradstab.2013.02.008
9,DGEBA + 5 wt% PN-EPC /MeTHPA,156.34,283.0,167.99,264.7,176.4,261.5,184.43,255.7,73.96,19.33,0.91,77.3,,,,,,"['DGEBA(0.05)PN-EPC', 'MeTHPA']",j.polymdegradstab.2013.02.008
10,DGEBA + 5 wt% PN-EPC3/DDM,153.98,220.8,172.81,224.8,183.27,218.1,189.26,202.5,56.1,14.09,0.88,60.34,,,,,,"['DGEBA(0.05)PN-EPC3', 'DDM']",j.polymdegradstab.2013.02.008
11,DGEBA + 5 wt% PN-EPC3/DICY,173.57,217.8,183.5,239.8,190.86,254.6,203.28,158.4,75.01,18.83,0.91,78.6,,,,,,"['DGEBA(0.05)PN-EPC3', 'DICY']",j.polymdegradstab.2013.02.008
12,DGEBA+10 wt.% PN-EPC /MeTHPA,,,,,,,,,,,,,25.8,Failed,,146.5,31.5,"['DGEBA(0.1)PN-EPC', 'MeTHPA']",j.polymdegradstab.2013.02.008
13,DGEBA+10 wt.% PN-EPC3/DDM,,,,,,,,,,,,,26.2,V-1,,127.9,29.2,"['DGEBA(0.1)PN-EPC3', 'DDM']",j.polymdegradstab.2013.02.008
14,DGEBA+10 wt.% PN-EPC3/DICY,,,,,,,,,,,,,26.7,V-1,,136.8,25.5,"['DGEBA(0.1)PN-EPC3', 'DICY']",j.polymdegradstab.2013.02.008
15,DGEBA+15 wt.% PN-EPC /DICY,,,,,,,,,,,,,29.1,V-1,,45.8,12.6,"['DGEBA(0.15)PN-EPC', 'DICY']",j.polymdegradstab.2013.02.008
16,DGEBA+15 wt.% PN-EPC/DDM,,,,,,,,,,,,,28.7,V-1,,55.8,14.7,"['DGEBA(0.15)PN-EPC', 'DDM']",j.polymdegradstab.2013.02.008
17,DGEBA+15 wt.% PN-EPC/MeTHPA,,,,,,,,,,,,,28.1,V-1,,52.5,15.4,"['DGEBA(0.15)PN-EPC', 'MeTHPA']",j.polymdegradstab.2013.02.008
18,DGEBA+20 wt.% PN-EPC /MeTHPA,,,,,,,,,,,,,30.2,V-0,,31.6,7.8,"['DGEBA(0.2)PN-EPC', 'MeTHPA']",j.polymdegradstab.2013.02.008
19,DGEBA+20 wt.% PN-EPC 3/DICY,,,,,,,,,,,,,31.8,V-0,,23.1,6.7,"['DGEBA(0.2)PN-EPC3', 'DICY']",j.polymdegradstab.2013.02.008
20,DGEBA+20 wt.% PN-EPC3/DDM,,,,,,,,,,,,,31.2,V-0,,22.7,6.4,"['DGEBA(0.2)PN-EPC3', 'DDM']",j.polymdegradstab.2013.02.008
21,DGEBA+5 wt.% PN-EPC /MeTHPA,,,,,,,,,,,,,24.6,Failed,Yes,208.6,42.1,"['DGEBA(0.05)PN-EPC', 'MeTHPA']",j.polymdegradstab.2013.02.008
22,DGEBA+5 wt.% PN-EPC/DDM,,,,,,,,,,,,,24.9,Failed,,205.2,44.2,"['DGEBA(0.05)PN-EPC', 'DDM']",j.polymdegradstab.2013.02.008
23,DGEBA+5 wt.% PN-EPC3/DICY,,,,,,,,,,,,,25.2,Failed,,201.6,47.3,"['DGEBA(0.05)PN-EPC3', 'DICY']",j.polymdegradstab.2013.02.008
24,DGEBA/DDM,147.72,327.0,166.82,260.0,179.75,344.2,186.2,355.7,62.43,12.34,0.87,65.93,22.5,Failed,Yes,250.0,50.0,"['DGEBA', 'DDM']",j.polymdegradstab.2013.02.008
