,Samples,Tg (°C),E (MPa),Tensile strength (MPa),Young's modulus (MPa),Elongation at break (%),Impact strength (KJ/m²),Tensile strength (MPa)_err,Young's modulus (MPa)_err,Elongation at break (%)_err,Impact strength (KJ/m²)_err,Atomic Cls,ratio (%) N1s,ratio (%) O1s,ratio (%) P2p,ratio (%) B1s,Area C1s (C=C/C-C) (%),Area (%) C1s (C-O),Area (%) Cls (C=0),Cox/C ratio,TTI (s),PHRR (kW/m²),THR (MJ/m²),FPI (m ²/swk,FGR (kW/m²s),PSPR (m²/s),TSP (m²),AEHC (MJ/kg),RW (%),TTI (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,FPI (m ²/swk_err,FGR (kW/m²s)_err,PSPR (m²/s)_err,TSP (m²)_err,AEHC (MJ/kg)_err,RW (%)_err,Vectors,Ref
0,EP/DDM,186.0,2204.0,53.4,1280.2,5.7,8.7,3.0,10.5,0.5,0.6,83.11,4.61,12.28,/,/,44.5,51.6,3.8,1.24,62.0,1311.0,87.5,0.047,11.8,0.453,35.4,24.4,10.3,3.0,61.0,4.1,0.003,0.6,0.022,2.0,1.2,0.5,"['EP', 'DDM']",j.cej.2021.131578
1,EP/DDM/DA-3,186.0,2486.0,22.6,1023.9,2.2,2.7,1.7,14.3,0.7,0.1,,,,,,,,,,41.0,1171.0,85.9,0.035,12.3,0.537,35.0,23.8,14.9,2.0,56.0,4.2,0.002,0.5,0.025,1.8,1.2,0.7,"['EP', 'DDM', 'DA(3)']",j.cej.2021.131578
2,EP/DDM/PB-1,187.0,2280.0,65.3,1364.5,7.3,12.3,3.2,15.1,0.6,0.5,,,,,,,,,,80.0,1193.0,83.7,0.067,8.5,0.34,30.9,23.8,13.1,4.0,54.0,3.9,0.004,0.3,0.017,1.5,1.3,0.7,"['EP', 'DDM', 'PB(1)']",j.cej.2021.131578
3,EP/DDM/PB-2,184.0,2231.0,69.2,1375.4,7.5,12.4,1.6,30.5,0.3,0.3,,,,,,,,,,74.0,1146.0,83.3,0.065,8.8,0.317,27.6,23.5,16.1,3.0,48.0,3.7,0.003,0.2,0.022,1.3,1.1,0.8,"['EP', 'DDM', 'PB(2)']",j.cej.2021.131578
4,EP/DDM/PB-3,180.0,2245.0,69.3,1426.9,7.9,13.0,1.6,36.4,0.3,0.4,,,,,,,,,,70.0,989.0,76.7,0.071,7.9,0.307,27.4,23.5,16.3,2.0,45.0,4.0,0.003,0.3,0.019,1.4,1.3,0.8,"['EP', 'DDM', 'PB(3)']",j.cej.2021.131578
5,EP/DDM/PB-5,177.0,2584.0,80.4,1563.4,7.1,12.2,2.7,20.9,0.5,0.5,78.85,4.95,13.92,0.44,1.84,49.8,46.8,3.4,1.01,66.0,923.0,78.2,0.072,7.1,0.286,25.6,23.2,20.8,3.0,46.0,3.6,0.004,0.3,0.018,1.3,1.1,1.0,"['EP', 'DDM', 'PB(5)']",j.cej.2021.131578
6,EP/DDM/PD-3,179.0,2343.0,51.9,1102.3,3.7,3.5,2.5,12.8,0.7,0.4,,,,,,,,,,39.0,1184.0,86.2,0.033,12.2,0.589,38.6,23.5,12.4,2.0,57.0,3.8,0.002,0.5,0.03,2.2,1.0,0.6,"['EP', 'DDM', 'PD(3)']",j.cej.2021.131578
