,Samples,Tg (°C),Impact energy (Jm-1),Modulus (GPa),Yield stress (MPa),Impact energy (Jm-1)_err,Modulus (GPa)_err,Yield stress (MPa)_err,Cohesive failure (%),Adhesive strength (MPa),Adhesive strength (MPa)_err,Vectors,Ref
0,DGEBA/TETA,124.0,36.2,3.1,49.2,6.1,0.1,0.1,,,,"['DGEBA', 'TETA']",j.ijadhadh.2011.01.002
1,DGEBA/AEP,115.0,70.1,2.87,47.3,4.4,0.1,0.1,,,,"['DGEBA', 'AEP']",j.ijadhadh.2011.01.002
2,DGEBA/Pip,80.0,49.8,2.62,46.8,3.4,0.1,0.1,,,,"['DGEBA', 'Pip']",j.ijadhadh.2011.01.002
3,DGEBA/IPD,155.0,33.8,3.77,60.2,2.8,0.1,0.1,,,,"['DGEBA', 'IPD']",j.ijadhadh.2011.01.002
4,DGEBA/AEP,115.0,,,,,,,82.0,19.9,0.8,"['DGEBA', 'AEP']",j.ijadhadh.2011.01.002
5,DGEBA/IPD,155.0,,,,,,,78.0,17.5,0.5,"['DGEBA', 'IPD']",j.ijadhadh.2011.01.002
6,DGEBA/Pip,80.0,,,,,,,,21.0,0.4,"['DGEBA', 'Pip']",j.ijadhadh.2011.01.002
7,DGEBA/TETA,124.0,,,,,,,75.0,16.6,0.8,"['DGEBA', 'TETA']",j.ijadhadh.2011.01.002
