,Samples,DGEBA (g),DDS (g),HMCP (g),HMCP content (wt%),P content (w,Element C,composition N (wt%),composition P (wt%),composition o (wt%),composition (wt%) S,P content (%),LOI (%),UL-94,(mm),TTI (s),HRR (kW/m²),PHRR (kW/m²),EHC (MJ/kg),THR (MJ/m²),COY (kg/kg),CO₂Y (kg/kg),Vectors,Ref
0,EP,100.0,33.0,0.0,0.0,0.0,87.3,4.48,-,7.9,0.28,0.0,22.5,NR,Yes,47.0,177.0,1208.0,22.2,80.6,0.063,1.59,['EP'],j.polymdegradstab.2016.01.011
1,EP/HMCP-0.25,100.0,34.4,4.7,3.4,0.25,,,,,,0.25,27.0,NR,No,39.0,170.0,751.0,21.6,77.0,0.088,1.56,"['EP', 'HMCP(0.25)']",j.polymdegradstab.2016.01.011
2,EP/HMCP-0.5,100.0,35.9,10.0,6.8,0.5,,,,,,0.5,29.0,V-1,No,38.0,135.0,469.0,20.0,66.5,0.095,1.46,"['EP', 'HMCP(0.5)']",j.polymdegradstab.2016.01.011
3,EP/HMCP-0.75,100.0,37.6,15.6,10.2,0.75,76.7,7.22,0.76,14.6,0.7,0.75,33.4,V-0,No,36.0,136.0,506.0,19.2,63.0,0.124,1.28,"['EP', 'HMCP(0.75)']",j.polymdegradstab.2016.01.011
4,EP/HMCP-1.0,100.0,39.5,21.9,13.6,1.0,,,,,,1.0,35.0,V-0,No,36.0,130.0,467.0,18.5,58.0,0.155,1.18,"['EP', 'HMCP(1.0)']",j.polymdegradstab.2016.01.011
5,EP/HMCP-1.25,100.0,41.5,28.9,17.0,1.25,78.4,7.5,1.36,12.2,0.58,1.25,36.5,V-0,No,39.0,120.0,351.0,17.5,50.0,0.162,1.18,"['EP', 'HMCP(1.25)']",j.polymdegradstab.2016.01.011
