,Samples,LOI (%),UL-94,TTI (s),PHRR (kW/m²),HRR (kW/m²),EHC (MJ/kg),COY (kg/kg),CO₂Y (kg/kg),Residual weight (%),Nitrogen T5% (°C),Nitrogen Tmax (°C),Nitrogen Yc (%),Air T5% (°C),Air Tmax1 (C),Air Tmax2 (C),Air Y Superscript(c) (%),DGEBA (g),DDS (g),PBI (g),PBI content (wt%),phosphorus content (wt%),Vectors,Ref
0,EP/DDS,22.5,NR,47.0,1208.0,177.0,22.2,0.063,1.589,10.4,384.0,411.0,18.6,308.0,332.0,507.0,0.8,100.0,33.0,0.0,0.0,0.0,"['EP', 'DDS']",j.polymdegradstab.2019.06.020
1,EP/DDS/PBI-0.25,28.8,NR,45.0,1046.0,152.0,19.5,0.075,1.265,15.7,359.0,396.0,21.9,304.0,324.0,536.0,1.9,100.0,31.5,4.9,3.6,0.25,"['EP', 'DDS', 'PBI(0.25)']",j.polymdegradstab.2019.06.020
2,EP/DDS/PBI-0.5,31.4,V-1,35.0,922.0,146.0,19.1,0.089,1.202,17.5,345.0,388.0,24.1,303.0,321.0,549.0,2.1,100.0,30.1,10.0,7.1,0.5,"['EP', 'DDS', 'PBI(0.5)']",j.polymdegradstab.2019.06.020
3,EP/DDS/PBI-0.75,34.6,V-0,31.0,620.0,122.0,18.1,0.122,1.106,21.8,339.0,382.0,26.2,302.0,319.0,550.0,6.5,100.0,28.6,15.5,10.8,0.75,"['EP', 'DDS', 'PBI(0.75)']",j.polymdegradstab.2019.06.020
4,EP/DDS/PBI-1.0,33.5,V-0,23.0,610.0,113.0,18.2,0.158,1.025,21.2,333.0,378.0,25.0,300.0,318.0,555.0,4.2,100.0,27.0,21.2,14.3,1.0,"['EP', 'DDS', 'PBI(1.0)']",j.polymdegradstab.2019.06.020
5,PBI,,,,,,,,,,237.0,-,24.3,-,-,-,-,,,,,,['PBI'],j.polymdegradstab.2019.06.020
