,Samples,TTI (s),PHRR (kW/m²),Time PHRR (s),FGI (kW/m²s),p-SPR (m ²/s),"Ds, max",PCOP (g/s),PCO₂P (g/s),TTI (s)_err,PHRR (kW/m²)_err,Time PHRR (s)_err,FGI (kW/m²s)_err,p-SPR (m ²/s)_err,"Ds, max_err",PCOP (g/s)_err,PCO₂P (g/s)_err,C-C area (%),C-O area (%),O-C.0 area (%),Cox / C,Vectors,Ref
0,EP,36.0,1074.0,110.0,9.76,0.44,488.0,0.032,0.56,2.0,25.0,1.0,0.12,0.08,5.0,0.006,0.06,60.5,27.0,12.5,0.65,['EP'],j.compositesb.2020.107961
1,EP/3 wt% Na-Ph-POSS,34.0,694.0,110.0,6.31,0.26,270.0,0.018,0.41,3.0,19.0,3.0,0.15,0.03,6.0,0.005,0.05,,,,,"['EP/(0.03)Na', 'Ph', 'POSS']",j.compositesb.2020.107961
2,EP/3 wt% T7-Ph-POSS,36.0,1031.0,100.0,10.13,0.33,421.0,0.03,0.59,1.0,22.0,2.0,0.11,0.06,8.0,0.004,0.03,,,,,"['EP/(0.03)T7', 'Ph', 'POSS']",j.compositesb.2020.107961
3,EP/5 wt% Na-Ph- POSS,,,,,,,,,,,,,,,,,65.9,22.2,11.9,0.52,"['EP', '(0.05)Na-Ph-POSS']",j.compositesb.2020.107961
4,EP/5 wt% Na-Ph-POSS,29.0,581.0,105.0,5.53,0.25,268.0,0.017,0.33,1.0,21.0,1.0,0.11,0.02,3.0,0.002,0.02,,,,,"['EP/(0.05)Na', 'Ph', 'POSS']",j.compositesb.2020.107961
5,EP/5 wt% T7-Ph- POSS,,,,,,,,,,,,,,,,,61.5,25.6,12.9,0.63,"['EP', '(0.05)T7-Ph-POSS']",j.compositesb.2020.107961
6,EP/5 wt% T7-Ph-POSS,36.0,960.0,85.0,11.3,0.31,350.0,0.027,0.51,2.0,33.0,2.0,0.13,0.05,9.0,0.007,0.08,,,,,"['EP/(0.05)T7', 'Ph', 'POSS']",j.compositesb.2020.107961
