,Samples,Nitrogen T5% (°C),Nitrogen Tmax b (C),Nitrogen R800C (%),Air T5% (C),Air Tmax1 (C),Air Tmax2 (C),Air Tmax3 (C),Air R800 (%),DGEBA (g),DDM (g),MFR (g),TTI (s),PHRR (kW/m²),THR (MJ/m²),TSR (m²/m²),EHC (MJ/kg),COY (kg/kg),CO₂Y (kg/kg),MLR (g/s),Char Yield (%),MFR content (wt%),P content (wt%),LOI (%),UL 94 rating (3.0,(mm),Vectors,Ref
0,EP,366.0,390.0,16.3,304.0,299.0,383.0,547.0,1.49,100.0,25.0,0.0,27.0,673.7,56.0,3598.0,23.9,0.067,1.53,0.057,6.7,0.0,0.0,22.3,NR,Yes,['EP'],j.polymdegradstab.2019.04.022
1,EP/10%MFR,291.0,364.0,25.7,280.0,290.0,364.0,556.0,2.88,100.0,25.0,12.5,26.0,402.3,53.3,2763.0,22.2,0.105,1.284,0.038,10.5,10.0,0.95,29.6,V-1,No,"['EP', '(0.1)MFR']",j.polymdegradstab.2019.04.022
2,EP/15%MFR,281.0,363.0,26.3,277.0,289.0,358.0,564.0,1.14,100.0,25.0,18.75,17.0,479.7,47.8,2425.0,20.5,0.103,1.349,0.03,19.5,15.0,1.42,30.8,V-0,No,"['EP', '(0.15)MFR']",j.polymdegradstab.2019.04.022
3,EP/20%MFR,274.0,342.0,28.6,263.0,282.0,351.0,575.0,1.5,100.0,25.0,25.0,22.0,241.6,42.3,2728.5,14.9,0.099,0.916,0.03,23.4,20.0,1.9,32.2,V-0,No,"['EP', '(0.2)MFR']",j.polymdegradstab.2019.04.022
