,Samples,T5% (C) N₂,T5% (C) Air,T5% (C)$$ N₂,Tmax ( C ) Air,Vmax max ( %/°C ) N2,Vmax max ( %/°C ) Air,Char yield N2 (700 °C) (%),Char yield Air (700 °C) (%),DGEBA,Composition (g) DDM,Composition (g) PDAP,Composition (g) PDAP (wt%),Composition (g) P (wt%),Vectors,Ref
0,EP,354.7,330.6,379.9,368.6,1.31,1.48,17.5,0.5,100.0,21.82,0.0,0.0,0.0,['EP'],j.polymdegradstab.2016.04.005
1,EP/PDAP10,309.1,294.7,360.7,347.7,0.87,0.77,24.4,2.5,100.0,19.6,13.29,10.0,0.92,"['EP', 'PDAP10']",j.polymdegradstab.2016.04.005
2,EP/PDAP4,326.9,314.5,368.8,361.0,0.96,0.83,22.6,1.0,100.0,20.98,5.04,4.0,0.37,"['EP', 'PDAP4']",j.polymdegradstab.2016.04.005
3,EP/PDAP7,315.4,303.2,364.6,356.3,0.9,0.79,24.0,1.2,100.0,20.31,9.06,7.0,0.64,"['EP', 'PDAP7']",j.polymdegradstab.2016.04.005
