,Samples,Energy (J),Impact strength (KJ/m²),TTI (s),THR (MJ/m²),Time PHRR (s),PHRR (kW/m²),TSP (m²),EHC (MJ/kg),W (%),TTI (s)_err,THR (MJ/m²)_err,Time PHRR (s)_err,PHRR (kW/m²)_err,TSP (m²)_err,EHC (MJ/kg)_err,W (%)_err,EP,MH,3TT-3BA,Ethylenediamine,WN (%),Wc (%),Ws (%),WOther (%),Carbonaceous char (%),Tonset (°C),Tmax1 b (C),Tmax2 (°C),W (800°C) (%),W800°C_theo d (%),Vectors,Ref
0,3TT-3BA,,,,,,,,,,,,,,,,,,,,,,,,,,147.0,136.0,363.0,56.9,-,['3TT-3BA'],j.polymdegradstab.2016.06.011
1,EP,0.181,5.0,11.0,142.0,140.0,781.0,50.4,31.2,5.6,2.0,4.0,5.0,16.0,0.5,0.4,0.5,100.0,0.0,0.0,7.0,,,,,,209.0,174.0,363.0,7.7,-,['EP'],j.polymdegradstab.2016.06.011
2,EP/B,0.219,6.1,17.0,108.0,175.0,454.0,27.3,24.5,23.7,3.0,3.0,5.0,12.0,0.5,0.4,0.8,100.0,0.0,20.0,7.0,3.12,75.28,0.57,21.03,17.8,144.0,143.0,370.0,23.0,15.9,['EP/B'],j.polymdegradstab.2016.06.011
3,EP/MH,0.107,2.9,14.0,123.0,145.0,518.0,33.9,28.7,17.5,2.0,3.0,5.0,13.0,0.5,0.4,0.8,,,,,2.02,34.18,0.0,63.8,5.9,154.0,138.0,336.0,19.4,17.9,"['EP', 'MH']",j.polymdegradstab.2016.06.011
4,EP/MH/B1°,,,,,,,,,,,,,,,,,100.0,10.0,5.0,7.0,,,,,,,,,,,"['EP', 'MH', 'B1°']",j.polymdegradstab.2016.06.011
5,EP/MH/B2,0.19,5.2,16.0,102.0,230.0,353.0,28.9,24.3,19.8,2.0,3.0,5.0,11.0,0.5,0.4,0.8,,,,,2.48,49.94,0.38,47.2,9.9,181.0,144.0,323.0,30.4,16.9,"['EP', 'MH', 'B2']",j.polymdegradstab.2016.06.011
6,EP/MH/B2d,,,,,,,,,,,,,,,,,100.0,10.0,10.0,7.0,,,,,,,,,,,"['EP', 'MH', 'B2d']",j.polymdegradstab.2016.06.011
7,EP/MH³,,,,,,,,,,,,,,,,,100.0,20.0,0.0,7.0,,,,,,,,,,,"['EP', 'MH³']",j.polymdegradstab.2016.06.011
