,Samples,LOI (%),UL94 (3 mm) av-t1(s),UL94 (3 mm) av-t2(s),UL94 (3 mm) Dripping,UL94 (3 mm) Rating,TTI (s),THR (MJ/m²),pk1-HRR (kW/m²),TML (wt%),EHC (MJ/kg),COY (kg/kg),CO₂Y (kg/kg),TSR (m²/m²),TTI (s)_err,Td1% (°C),Char yields at 700 °C (wt%),Vectors,Ref
0,2%ABD/EP,32.3,7.4,5.8,No,V-1,,,,,,,,,,,,"['(0.02)ABD', 'EP']",j.polymdegradstab.2019.06.024
1,3%ABD/EP,36.2,1.7,4.6,No,V-0,,101.5,1043.0,87.7,22.6,0.12,1.78,5709.0,51.0,344.0,19.8,"['(0.03)ABD', 'EP']",j.polymdegradstab.2019.06.024
2,3%DOPO/EP,35.5,46.4,-,No,NR,,91.9,1182.0,88.7,21.5,0.14,1.62,6003.0,52.0,340.0,20.9,"['(0.03)DOPO', 'EP']",j.polymdegradstab.2019.06.024
3,4%ABD/EP,39.1,1.4,3.2,No,V-0,,94.3,933.0,87.1,21.4,0.13,1.68,5618.0,51.0,,,"['(0.04)ABD', 'EP']",j.polymdegradstab.2019.06.024
4,EP,24.7,50.8,-,No,NR,,143.6,1420.0,92.2,29.9,0.13,2.51,5912.0,56.0,369.0,15.7,['EP'],j.polymdegradstab.2019.06.024
5,Error range,,,,,,,2.0,45.0,0.5,0.5,0.01,0.03,64.0,1.0,,,['Errorrange'],j.polymdegradstab.2019.06.024
