,Samples,KH 10⁻² (mol/kg.kpa),C1 (kg.mol⁻¹),C2 -,SBET,Vt (cm3.g-1),dp (nm)b,Curve type,Vectors,Ref
0,CNT- COOH DETASi,99.89,14.26,6.95,,,,,"['CNT', 'COOHDETASi']",j.cej.2021.128763
1,CNT-COOH,0.08,44.62,-,121.0,0.63,1.3,,"['CNT', 'COOH']",j.cej.2021.128763
2,CNT-COOH_DETASi,,,,74.0,0.35,1.9,,"['CNT', 'COOH_DETASi']",j.cej.2021.128763
3,CNT-OH,-,-,-,103.0,0.54,2.5,,"['CNT', 'OH']",j.cej.2021.128763
4,CNT-OH_DETASI,,,,83.0,0.34,1.9,,"['CNT', 'OH_DETASI']",j.cej.2021.128763
5,CNT-OH_DETASi,3.17,36.16,93.67,,,,,"['CNT', 'OH_DETASi']",j.cej.2021.128763
6,CNT-SD,,,,112.0,0.58,2.6,IVa,"['CNT', 'SD']",j.cej.2021.128763
7,CNT-SD_DETASi,19.5,26.5,38.83,88.0,0.37,1.9,,"['CNT', 'SD_DETASi']",j.cej.2021.128763
