,Samples,.1,EP,EP/9%BPS-BPP,DGEBA (g),DDM (g),BPS-BPP (g),BPS-BPP (wt%),Tonset (°C),Tmax (°C),a-max a (%/°C),Residue (700 °C) (wt%),Unnamed: 6,Vectors,Ref
0,BPS-BPP,,,,,,,,276.2,305.9,0.19,57.1,/,['BPS-BPP'],j.polymdegradstab.2016.11.023
1,EP,,,,80.0,21.5,-,-,386.1,400.8,2.23,16.6,/,['EP'],j.polymdegradstab.2016.11.023
2,EP/12%BPS-BPP,,,,80.0,21.5,13.8,12.0,,,,,,"['EP', '(0.12)BPS-BPP']",j.polymdegradstab.2016.11.023
3,EP/3%BPS-BPP,,,,80.0,21.5,3.1,3.0,331.3,372.5,1.29,22.5,17.8,"['EP', '(0.03)BPS-BPP']",j.polymdegradstab.2016.11.023
4,EP/6%BPS-BPP,,,,80.0,21.5,6.5,6.0,330.0,365.9,1.33,24.6,19.0,"['EP', '(0.06)BPS-BPP']",j.polymdegradstab.2016.11.023
5,EP/9%BPS-BPP,,,,80.0,21.5,10.0,9.0,327.5,363.0,1.34,26.1,20.2,"['EP', '(0.09)BPS-BPP']",j.polymdegradstab.2016.11.023
6,Flynn-Wall-Ozawa eq f,E,57.4,56.0,,,,,,,,,,"['Flynn', 'Wall', 'Ozawaeqf']",j.polymdegradstab.2016.11.023
7,Kissinger and Crane eqe,E a,53.1,51.8,,,,,,,,,,['KissingerandCraneeqe'],j.polymdegradstab.2016.11.023
