,Samples,TTI (s),PHRR-1 (kW.m²),tPeak1-HRR (s),Peak2HRR (kW m-2),Time PHRR-2 (s),THR (MJ/m²),PSPR-1 (m²/s),Peak2SPR,TSP (m²),Peak1COP (gs1,PCOP-2 (g/s),PCO2P-1 (gs⁻¹²),PCO2P-2 (g/s),EHC (MJ/kg),T5 (wt%/°C),R1peak/T1peak (%/min) (°C),R2peak/T2peak (% min-1/°C),R3peak/T3peak (% min-1/°C),Char residues (wt%) 700 °C,Vectors,Ref
0,CTP-EP/DDM,30.0,187.0,50.0,132.0,322.0,63.0,0.16,0.05,18.57,0.013,0.006,0.1,0.09,16.65,290.0,6.4,6.1,1.2,39.0,"['CTP-EP', 'DDM']",j.polymdegradstab.2014.07.020
1,DGEBA/DDM,63.0,732.0,185.0,-,-,103.0,0.31,-,47.59,0.017,-,0.4,-,22.73,364.0,15.3,13.9,-,14.1,"['DGEBA', 'DDM']",j.polymdegradstab.2014.07.020
