,Samples,d5% (°C),(°C),Y (%),Rmax (%/min),TTI (s),PHRR (kW/m²),THR (MJ/m²),FRI,C (wt 9 %),O (wt%),N (wt%),Vectors,Ref
0,DGEBA/DDM,388.2,414.3,14.8,31.3,50.0,1045.4,153.2,1.0,80.87,14.92,4.21,"['DGEBA', 'DDM']",j.cej.2019.123667
1,PH-ODA-EP/DDM,280.1,504.1,41.7,5.1,18.0,95.3,42.9,14.1,85.67,10.19,4.23,"['PH-ODA-EP', 'DDM']",j.cej.2019.123667
