,Samples,E (30°C) (Mpa),E'so MPa,E'140 MPa,E (Tg+50K) (Mpa),Tg (°C),tan 8 in Tg -,ve (mol.m-3).10³,T5% °C,Tmax1 °C; %/min,Tmax2 (°C) (%/min),Tmax3 (°C) (%/min),Tmax4 °C; %/min,Tmax5 (°C) (%/min),Tmax6 (°C) (%/min),Tmax7 (°C) (%/min),U800 %,Filler type,"Filler content, wt%",The linear,burning rate,(mm/min),Classification,Vectors,Ref
0,10HS/10LHP,2214.0,19.0,11.0,11.3,68.9,0.693,1.2,162.0,165.0,211.0,324.0,343.0,-,-,-,17.0,"HS, LHP",10.0,-,-,-,HB,"['(10)HS', '(10)LHP']",j.polymdegradstab.2020.109292
1,15HS/5LHP,2474.0,23.0,15.0,14.7,69.3,0.669,1.5,183.0,175.0,212.0,328.0,349.0,-,-,-,16.0,"HS, LHP",15.0,-,-,-,HB,"['(15)HS', '(5)LHP']",j.polymdegradstab.2020.109292
2,20APP,2257.0,19.0,14.0,13.3,69.2,0.714,1.4,166.0,169.0,-,321.0,387.0,414.0,434.0,451.0,9.0,APP,20.0,-,-,-,HB,['(20)APP'],j.polymdegradstab.2020.109292
3,20HS,2298.0,23.0,19.0,17.2,69.3,0.684,1.8,187.0,-,294.0,347.0,360.0,-,-,-,12.0,HS,20.0,17.6,15.0,15.6,HB,['(20)HS'],j.polymdegradstab.2020.109292
4,20LHP,2262.0,21.0,8.0,8.4,71.1,0.741,0.9,177.0,169.0,218.0,315.0,332.0,-,430.0,-,19.0,LHP,20.0,-,-,-,HB,['(20)LHP'],j.polymdegradstab.2020.109292
5,5HS/15LHP,2120.0,19.0,10.0,9.9,68.4,0.681,1.0,190.0,176.0,219.0,319.0,333.0,-,-,445.0,18.0,"HS, LHP",5.0,-,-,-,HB,"['(5)HS', '(15)LHP']",j.polymdegradstab.2020.109292
6,EP,1767.0,11.0,7.0,6.3,70.6,0.684,0.6,172.0,206.0,-,338.0,364.0,-,-,-,3.0,-,-,17.4,18.7,16.5,HB,['EP'],j.polymdegradstab.2020.109292
