,Samples,T5% (°C),T10% (°C),Tmax (°C),Tmax (C).1,Residue weight ratio at 600 °C (%),tign (s),Time PHRR (s),PHRR (kW/m²),THR (MJ/m²),AMLR (g/s),Vectors,Ref
0,EP/SDPS-2,330.0,359.0,406.0,582.0,10.7,62.0,122.0,1378.0,203.0,0.0828,"['EP', 'SDPS(2)']",j.polymdegradstab.2013.12.013
1,EP/SDPS/SPDM-1,321.0,343.0,390.0,590.0,11.8,,,,,,"['EP', 'SDPS', 'SPDM(1)']",j.polymdegradstab.2013.12.013
2,EP/SDPS/SPDM-2,327.0,344.0,382.0,582.0,18.3,62.0,134.0,1122.0,207.0,0.0706,"['EP', 'SDPS', 'SPDM(2)']",j.polymdegradstab.2013.12.013
3,EP/SDPS/SPDM-3,306.0,328.0,374.0,590.0,13.5,,,,,,"['EP', 'SDPS', 'SPDM(3)']",j.polymdegradstab.2013.12.013
4,EP/SPDM-2,303.0,326.0,406.0,598.0,15.9,,,,,,"['EP', 'SPDM(2)']",j.polymdegradstab.2013.12.013
5,Neat EP,355.0,378.0,422.0,574.0,5.9,86.0,138.0,1650.0,213.0,0.0837,['EP'],j.polymdegradstab.2013.12.013
