,Samples,T% Air (°C),T%(°C) Nitrogen,Tmax Air (°C),Tmax Nitrogen (°C),Residue O C Air,(700 Nitrogen) (wt%),TTI (s),PHRR (kW/m²),THR (MJ/m²),TSR (m²/m²),TTI (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,TSR (m²/m²)_err,Vectors,Ref
0,10 wt% ATH/EP,219.0,220.0,339.0,332.0,13.3,13.6,28.0,1041.0,56.0,1804.0,2.0,71.0,3.0,86.0,"['(0.1)ATH', 'EP']",j.compositesb.2020.107828
1,10 wt% PDA/EP,307.0,312.0,335.0,337.0,1.3,19.1,26.0,819.0,51.0,341.0,1.0,56.0,1.0,77.0,"['(0.1)PDA', 'EP']",j.compositesb.2020.107828
2,2 wt% ATH/EP,290.0,323.0,341.0,360.0,1.7,5.7,33.0,1664.0,60.0,1743.0,1.0,25.0,2.0,91.0,"['(0.02)ATH', 'EP']",j.compositesb.2020.107828
3,2 wt% PDA/EP,315.0,322.0,343.0,352.0,0.6,10.7,32.0,982.0,50.0,272.0,2.0,37.0,2.0,36.0,"['(0.02)PDA', 'EP']",j.compositesb.2020.107828
4,ATH,100.0,112.0,165.0,178.0,59.5,54.7,,,,,,,,,['ATH'],j.compositesb.2020.107828
5,EP,319.0,337.0,345.0,364.0,1.6,3.6,36.0,2115.0,60.0,258.0,3.0,63.0,3.0,21.0,['EP'],j.compositesb.2020.107828
6,PDA,70.0,93.0,482.0,498.0,3.7,42.0,,,,,,,,,['PDA'],j.compositesb.2020.107828
