,Samples,TTI (s),Time PHRR (s),PHRR (kW/m²),THR (MJ/m²),TSR (m²/m²),Residue (wt%),COY (kg/kg),EHC (MJ/kg),F FIGRA x,Tg (°C),T10 wt% (°C),DWmax (%/min),Residue (800 °C) (wt%),Thermal conductivity (W/mK),Vectors,Ref
0,0.1FGO/EP,,,,,,,,,,156.0,375.2,1.9,14.2,0.2481,"['(0.1)FGO', 'EP']",j.eurpolymj.2019.109383
1,0.1GO/EP,,,,,,,,,,158.1,375.9,1.9,13.8,0.2513,"['(0.1)GO', 'EP']",j.eurpolymj.2019.109383
2,0.3FGO/EP,,,,,,,,,,157.2,375.0,2.1,15.1,0.2454,"['(0.3)FGO', 'EP']",j.eurpolymj.2019.109383
3,0.5FGO/EP,,,,,,,,,,158.0,375.5,1.8,15.9,0.2427,"['(0.5)FGO', 'EP']",j.eurpolymj.2019.109383
4,0.7FGO/EP,49.0,120.0,844.7,97.3,3518.5,17.3,0.09,26.1,7.0,159.6,376.6,1.9,17.2,0.2377,"['(0.7)FGO', 'EP']",j.eurpolymj.2019.109383
5,0.9FGO/EP,,,,,,,,,,156.9,375.1,1.8,16.3,0.2324,"['(0.9)FGO', 'EP']",j.eurpolymj.2019.109383
6,EP,40.0,135.0,1677.9,148.0,6009.4,6.7,0.13,33.7,12.4,157.0,375.0,2.7,14.4,0.2534,['EP'],j.eurpolymj.2019.109383
