,Samples,T5% (°C),Tmax (°C),MLRmax (%/min),Char residue (wt%),LOI (%),UL-94,Dripping,E-51 (g),DDS (g),TAP (g),Content of TAP (wt%),Content of Phosphorus (wt%),TTI (s),PHRR (kW/m²),THR (MJ/m²),EHC (MJ/kg),TSP (m²),FIGRA (kW/m²s),COY (kg/kg),CO₂Y (kg/kg),Tg (°C),Storage modulus (30°C) (MPa),Storage modulus (Tg+40°C) (MPa),Ve x 10-3 (mol/m³),Vectors,Ref
0,EP,389.0,419.0,20.1,15.49,,,,,,,,,,,,,,,,,,,,,['EP'],j.compositesb.2020.108228
1,EP/7.5%TAP,348.0,400.0,15.73,18.65,,,,,,,,,,,,,,,,,,,,,"['EP', '(0.075)TAP']",j.compositesb.2020.108228
2,EP/10%TAP,340.0,394.0,14.42,19.23,,,,,,,,,,,,,,,,,,,,,"['EP', '(0.1)TAP']",j.compositesb.2020.108228
3,EP/12.5%TAP,336.0,388.0,13.72,18.31,,,,,,,,,,,,,,,,,,,,,"['EP', '(0.125)TAP']",j.compositesb.2020.108228
4,TAP,304.0,316.0,7.57,15.47,,,,,,,,,,,,,,,,,,,,,['TAP'],j.compositesb.2020.108228
5,EP,,,,5.12,22.8,No Rating,YES,100.0,31.6,0.0,0.0,0.0,73.0,1141.5,81.53,21.77,17.2,7.98,0.0683,1.87,185.0,2926.0,47.29,3.81,['EP'],j.compositesb.2020.108228
6,EP/10%TAP,,,,21.14,31.5,V-0,NO,100.0,31.6,14.62,10.0,0.67,66.0,670.41,52.42,15.92,13.11,4.89,0.0879,1.3,178.0,3200.0,32.95,2.69,"['EP', '(0.1)TAP']",j.compositesb.2020.108228
7,EP/12.5%TAP,,,,20.05,31.3,V-0,NO,100.0,31.6,18.8,12.5,0.84,62.0,753.71,53.93,16.11,13.54,5.38,0.09,1.31,177.0,3141.0,31.59,2.59,"['EP', '(0.125)TAP']",j.compositesb.2020.108228
8,EP/7.5%TAP,,,,18.85,30.8,V-0,NO,100.0,31.6,10.67,7.5,0.48,64.0,857.93,59.09,17.58,13.23,6.04,0.0883,1.44,185.0,2966.0,38.94,3.13,"['EP', '(0.075)TAP']",j.compositesb.2020.108228
