,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),TSR (m²/m²),TSP (m²),COY (kg/kg),EHC (MJ/kg),Char Residues (%),TTI (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,TSR (m²/m²)_err,TSP (m²)_err,COY (kg/kg)_err,EHC (MJ/kg)_err,Char Residues (%)_err,T1% (°C),T5% (°C),Tmax (°C),CY-exp (wt%),CY-cal (wt%),Vectors,Ref
0,12COF-EP,27.0,641.0,115.0,1684.0,16.75,0.019,25.0,0.35,3.0,21.0,16.0,23.0,1.0,0.02,3.0,0.2,283.5,357.8,440.1,17.2,12.0,"['(12)COF', 'EP']",j.polymdegradstab.2021.109613
1,12PCOF-EP,28.0,194.0,26.0,1575.0,16.05,0.132,9.4,20.65,1.0,34.0,4.0,12.0,2.0,0.05,2.0,2.2,292.7,357.9,425.0,21.3,12.3,"['(12)PCOF', 'EP']",j.polymdegradstab.2021.109613
2,4PCOF-EP,40.0,807.0,84.0,1460.0,14.37,0.092,16.3,1.33,2.0,32.0,9.0,24.0,1.0,0.02,2.0,0.5,,,,,,"['(4)PCOF', 'EP']",j.polymdegradstab.2021.109613
3,8PCOF-EP,29.0,339.0,99.0,1225.0,12.19,0.114,20.0,7.95,1.0,29.0,11.0,26.0,2.0,0.03,1.0,1.0,302.9,370.7,448.0,18.2,12.5,"['(8)PCOF', 'EP']",j.polymdegradstab.2021.109613
4,EP,46.0,921.0,84.0,1820.0,18.2,0.087,20.1,0.06,1.0,36.0,12.0,32.0,2.0,0.01,1.0,0.1,386.1,399.4,415.4,12.9,12.9,['EP'],j.polymdegradstab.2021.109613
