,Samples,Tm (°C),T (°C),"Tp,1 (°C)","Tp Tp,2 (°C)",Tf (°C),Weight ratio  BCy,Weight ratio  HBP@GO/MnF,Vectors,Ref
0,0.5HBP@GO/MnF/BCy,83.0,204.0,208.0,278.0,320.0,100.0,0.5,"['(0.5)HBP@GO', 'MnF', 'BCy']",j.matchemphys.2019.05.090
1,1HBP@GO/MnF/BCy,83.0,197.0,212.0,249.0,303.0,100.0,1.0,"['(1)HBP@GO', 'MnF', 'BCy']",j.matchemphys.2019.05.090
2,2HBP@GO/MnF/BCy,85.0,182.0,208.0,246.0,313.0,100.0,2.0,"['(2)HBP@GO', 'MnF', 'BCy']",j.matchemphys.2019.05.090
3,4HBP@GO/MnF/BCy,84.0,177.0,216.0,,296.0,100.0,4.0,"['(4)HBP@GO', 'MnF', 'BCy']",j.matchemphys.2019.05.090
4,BCy,83.0,268.0,313.0,,343.0,100.0,0.0,['BCy'],j.matchemphys.2019.05.090
5,f-BCy,,,,,,100.0,0.0,['f-BCy'],j.matchemphys.2019.05.090
