,Samples,TTI (s),Time to peaks (s) (tp),PHRR (kW/m²),FIGRA,THR (MJ/m²),PSPR (m²/s),TSP (m²),EHC (MJ/kg),COY (kg/kg),CO₂Y (kg/kg),Char residue (%),EP (g),DDM (g),CCD (g),UL94 (3.2 m),LOI (%),Vectors,Ref
0,EP,59.0,130.0,1063.1,8.17,76.1,0.54,71.4,13.4,0.054,0.995,11.9,25.0,6.5,0.0,N.R,25.8,['EP'],j.carbpol.2020.116530
1,EP/10 % CCD,55.0,75.0,997.1,7.41,46.6,0.36,20.1,18.3,0.084,1.151,15.4,25.0,6.5,3.5,V-0,31.6,"['EP', '(0.1)CCD']",j.carbpol.2020.116530
2,EP/6 % CCD,,,,,,,,,,,,25.0,6.5,2.01,V-1,29.2,"['EP', '(0.06)CCD']",j.carbpol.2020.116530
3,EP/8 % CCD,,,,,,,,,,,,25.0,6.5,2.74,V-1,30.5,"['EP', '(0.08)CCD']",j.carbpol.2020.116530
