,Samples,T5% (°C),Tmax (°C),Residue (%),TTI (s),PHRR (kW/m²),THR (MJ/m²),TSP (m²),Char yield (%),Vectors,Ref
0,EP,348.0,375.0,10.7,49.0,1247.0,49.8,26.7,3.9,['EP'],j.polymdegradstab.2017.05.026
1,EP/MFAPP/ORCC15.6,290.0,348.0,19.2,29.0,554.0,20.9,10.2,36.8,"['EP', 'MFAPP', 'ORCC(15.6)']",j.polymdegradstab.2017.05.026
2,EP/MFAPP/PER,300.0,351.0,16.6,27.0,961.0,39.9,20.6,13.9,"['EP', 'MFAPP', 'PER']",j.polymdegradstab.2017.05.026
3,EP/MFAPP/RCC,293.0,346.0,12.1,30.0,1055.0,40.5,24.5,11.7,"['EP', 'MFAPP', 'RCC']",j.polymdegradstab.2017.05.026
