,Samples,TTI (s),PHRR (kW/m²),Time PHRR (s),THR (MJ/m²),FGR (kW/m²s),EHC (MJ/kg),COY (kg/kg),CO₂Y (kg/kg),Residue (wt%),TSP (m²),TTI (s)_err,PHRR (kW/m²)_err,Time PHRR (s)_err,THR (MJ/m²)_err,FGR (kW/m²s)_err,EHC (MJ/kg)_err,COY (kg/kg)_err,CO₂Y (kg/kg)_err,Residue (wt%)_err,TSP (m²)_err,T5% (°C),Tmax (°C),Vmax (%/°C),CY600 (%),Tg (°C),Composition (g) TGDDM,Composition (g) DDS,Composition (g) STZ,Composition (g) DOPO,STZ (wt%),DOPO (wt%),LOI (%),UL-94,bar Dripping,bar Rating,LOI (%)_err,Tensile strength (MPa),Elongation at break (%),Tensile strength (MPa)_err,Elongation at break (%)_err,Vectors,Ref
0,EP,65.0,893.2,105.0,57.0,8.5,19.5,0.08,1.62,27.7,18.5,4.0,51.3,3.0,3.2,0.7,0.5,0.02,0.07,2.2,0.6,327.9,400.2,1.16,26.5,255.3,100.0,53.98,0.0,0.0,0.0,0.0,26.5,100.0,Yes,No,0.4,52.8,3.3,3.5,0.5,['EP'],j.polymdegradstab.2020.109078
1,EP/DOPO4,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,53.98,0.0,6.42,0.0,4.0,27.5,20.7,No,V-1,0.3,,,,,"['EP', 'DOPO4']",j.polymdegradstab.2020.109078
2,EP/STZ2,62.0,794.4,105.0,49.5,7.6,18.1,0.11,1.48,32.4,16.6,3.0,43.2,5.0,1.5,0.7,0.8,0.01,0.04,0.8,1.0,320.6,394.1,1.01,29.4,253.7,100.0,53.98,3.14,0.0,2.0,0.0,27.8,12.9,No,V-1,0.3,55.3,2.9,4.1,0.3,"['EP', 'STZ(2)']",j.polymdegradstab.2020.109078
3,EP/STZ4,56.0,585.5,105.0,38.7,5.6,16.2,0.12,1.46,35.1,14.4,5.0,27.5,5.0,2.6,0.5,0.4,0.02,0.02,0.4,0.7,308.7,391.7,0.86,33.3,252.1,100.0,53.98,6.42,0.0,4.0,0.0,29.1,8.8,No,V-0,0.3,59.2,2.7,9.9,0.3,"['EP', 'STZ(4)']",j.polymdegradstab.2020.109078
4,EP/STZ6,51.0,513.8,103.0,34.8,5.3,15.5,0.14,1.41,36.7,13.3,3.0,33.8,5.0,1.8,0.3,0.6,0.02,0.05,1.7,1.2,305.2,390.2,0.8,36.1,250.9,100.0,53.98,9.83,0.0,6.0,0.0,30.7,5.4,No,V-0,0.4,60.9,2.4,3.7,0.4,"['EP', 'STZ(6)']",j.polymdegradstab.2020.109078
5,STZ,,,,,,,,,,,,,,,,,,,,,285.5,288.3,0.32,47.2,-,,,,,,,,,,,,,,,,['STZ'],j.polymdegradstab.2020.109078
