,Samples,Tg (°C),E (30 °C) (MPa),E (Tg+30°C) (MPa),Ue (mol/m³),T5% (°C N superscript (2),2) Air,Tmax (°C + N2,2).1 Air,Residues N superscript (2),(% + Air,1.0) at 700 °C,tig (s+2),PHRR (kW/m²),THR (MJ/m²),TSP (m²),EHC (MJ/kg),Residue (wt%),Vectors,Ref
0,EP,151.0,1896.2,15.0,1.32,369.0,367.0,381.0,378.0,14.0,0.6,,57.0,968.0,157.5,33.2,29.3,5.2,['EP'],j.polymdegradstab.2021.109715
1,EP/Tetra-DOPO-2.5,165.0,1850.3,18.0,1.54,347.0,345.0,362.0,360.0,15.9,1.5,,50.0,805.0,135.7,31.4,26.2,6.9,"['EP', 'Tetra-DOPO(2.5)']",j.polymdegradstab.2021.109715
2,EP/Tetra-DOPO-5.0,161.0,1962.1,16.7,1.44,335.0,336.0,350.0,349.0,16.2,2.5,,48.0,725.0,128.0,28.6,25.7,7.9,"['EP', 'Tetra-DOPO(5.0)']",j.polymdegradstab.2021.109715
3,Tetra-DOPO,,,,,184.0,175.0,221.0,222.0,8.3,10.1,,,,,,,,['Tetra-DOPO'],j.polymdegradstab.2021.109715
