,Samples,Entry,Tds (°C),Td30 (°C),Tmax (°C),THRI (°C),R800 (%),Flexural Stress (MPa),Modulus (GPa),property Deflection (mm),Shore Hardness (HD),Flexural Stress (MPa)_err,Modulus (GPa)_err,property Deflection (mm)_err,Shore Hardness (HD)_err,E'(GPa),E (MPa),"Tg,DMA (°C)",Ve (mol/ dm³,HRC (J/ g.K),PHRR (W/g),Total HR (kJ/g),Peak Temp. (C),DBDBBB (g),DGEBA (g),DDS (g),Liquefied temp range (°C),Curing temperature (°C),Vectors,Ref
0,DBDBBB/ 33DDS,3.0,,,,,,,,,,,,,,1.09,7.36,120.4,0.696,268.93,266.06,18.98,467.68,7.56,-,2.48,130.0,210.0,"['DBDBBB', '33DDS']",j.cej.2021.128647
1,DBDBBB/ 33DDSb,5.0,,,,,,,,,,,,,,1.41,21.5,113.3,2.07,,,,,,,,,,"['DBDBBB', '33DDS']",j.cej.2021.128647
2,DBDBBB/ 44DDSb,6.0,,,,,,,,,,,,,,1.21,15.5,123.1,1.46,,,,,,,,,,"['DBDBBB', '44DDSb']",j.cej.2021.128647
3,DBDBBB/ 44DDSª,4.0,,,,,,,,,,,,,,1.48,6.43,134.6,0.589,,,,,,,,,,"['DBDBBB', '44DDS']",j.cej.2021.128647
4,DBDBBB/ 33DDS,1.0,397.0,440.0,450.0,207.2,17.6,80.0,3.03,4.94,77.5,12.0,0.25,1.14,0.95,,,,,,,,,7.56,-,2.48,130.0,210.0,"['DBDBBB', '33DDS']",j.cej.2021.128647
5,DBDBBB/ 44DDS,2.0,410.0,450.0,451.0,212.7,31.2,57.2,3.06,2.86,59.2,11.2,0.14,0.57,0.5,,,,,,,,,7.56,-,2.48,130.0,210.0,"['DBDBBB', '44DDS']",j.cej.2021.128647
6,DGEBA/ 33DDS,3.0,413.0,430.0,430.0,207.4,16.5,142.0,3.248,9.76,81.2,12.1,0.88,2.56,0.95,,,,,,,,,-,6.81,2.48,165.0,215.0,"['DGEBA', '33DDS']",j.cej.2021.128647
7,DGEBA/ 44DDS,4.0,408.0,426.0,424.0,205.2,14.8,126.3,2.856,10.52,79.7,11.9,0.24,1.48,1.5,,,,,,,,,-,6.81,2.48,165.0,215.0,"['DGEBA', '44DDS']",j.cej.2021.128647
