,Samples,Gel content (%)ª,Tg (°C)b,T5 (°C)ª,T10 (°C)b,Hydrolytical weight loss (%)°,Vectors,Ref
0,DGEBA,100.0,223.0,380.0,417.0,0.03,['DGEBA'],j.eurpolymj.2009.10.023
1,DGEBA/CL 90:10,100.0,142.0,317.0,350.0,5.0,"['DGEBA', 'CL(90)', '(10)']",j.eurpolymj.2009.10.023
2,DGEBA/CL 92:8,100.0,166.0,317.0,350.0,3.0,"['DGEBA', 'CL(92)', '(8)']",j.eurpolymj.2009.10.023
3,DGEBA/CL 95:5,99.0,186.0,333.0,378.0,2.0,"['DGEBA', 'CL(95)', '(5)']",j.eurpolymj.2009.10.023
