,Samples,Td5% (°C),Td10% (°C),Tmax (°C),Char yield (%),Td5% (°C)_err,Td10% (°C)_err,Tmax (°C)_err,Char yield (%)_err,Tensile strength (MPa),Tensile modulus (GPa),Tensile strain (%),Tensile strength (MPa)_err,Tensile modulus (GPa)_err,Tensile strain (%)_err,Vectors,Ref
0,DGEBA/MeHHPA,346.9,376.1,411.1,9.5,5.0,0.6,4.5,0.3,59.1,2.8,3.3,0.7,0.3,0.8,"['DGEBA', 'MeHHPA']",j.cej.2019.123124
1,REEP/MeHHPA,365.6,380.1,404.8,19.0,6.1,4.7,3.8,0.1,73.5,3.0,3.4,3.9,0.1,0.3,"['REEP', 'MeHHPA']",j.cej.2019.123124
