,Samples,Td5% (°C),"Tmax ""(°C)",Rmax b(% min-1),Cy800 c(%),"T "" (°C)",E' at 30 °C6 (MPa),Ve (molm-3),Flexural modulus (MPa),Flexural strength (MPa),Flexural modulus (MPa)_err,Flexural strength (MPa)_err,Vectors,Ref
0,DGEBA/DDS,391.0,429.0,0.303,13.5,180.0,1939.0,1012.0,2688.0,117.4,41.0,4.2,"['DGEBA', 'DDS']",j.cej.2020.126881
1,THMT-EP/DDS,394.0,411.0,0.201,44.8,300.0,3085.0,1301.0,4137.0,134.2,39.0,5.5,"['THMT-EP', 'DDS']",j.cej.2020.126881
