,Samples,C (wt%),O (wt%),N (wt%),P (wt%),TTI (s),Test time(s),Tp (s),PHRR (kW/m²),FIGRA,THR (MJ/m²),PSPR (m²/s),TSP (m²),EHC (MJ/kg),COY (kg/kg),AV-C02Y(kg/kg),Char residue (%),TTI (s)_err,Test time(s)_err,Tp (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,PSPR (m²/s)_err,TSP (m²)_err,EHC (MJ/kg)_err,COY (kg/kg)_err,AV-C02Y(kg/kg)_err,Char residue (%)_err,T5% (C) N₂,T5% (C) air,Tmax N₂ (°C),Tmax air (°C),Residue 800° C N superscript(2),at (%) air,EP (g),DDM (g),DOPMPA (g),DOPMPA (wt%),UL-94,Unnamed: 7,Tensile strength (MPa),Flexural strength (MPa),Impact strength (KJ/m²),Vectors,Ref
0,EP,82.52,11.43,6.05,0.0,59.0,590.0,130.0,1063.0,8.17,76.1,0.52,71.4,21.4,0.054,0.995,11.9,1.0,18.0,2.0,25.0,1.9,0.02,2.5,0.9,0.003,0.008,0.5,355.8,367.5,380.5,381.1,17.5,0.4,30.0,7.8,0.0,0.0,N.R,2.0,82.0,78.0,46.0,['EP'],j.polymdegradstab.2019.06.011
1,EP/10% DOPMPA,,,,,68.0,800.0,140.0,393.0,2.8,56.3,0.29,36.9,18.7,0.067,0.652,30.0,2.0,23.0,3.0,15.0,1.9,0.01,1.5,0.6,0.003,0.005,0.9,319.3,330.5,345.5,357.6,20.8,1.0,30.0,7.8,4.2,10.0,N.R,2.0,,,,"['EP', '(0.1)DOPMPA']",j.polymdegradstab.2019.06.011
2,EP/13% DOPMPA,78.12,14.21,5.22,2.45,67.0,395.0,130.0,285.0,2.19,27.4,0.21,15.4,15.4,0.106,0.453,55.3,1.0,13.0,2.0,11.0,1.1,0.01,0.4,0.3,0.004,0.005,1.5,312.2,329.4,344.9,352.7,21.3,2.0,30.0,7.8,5.65,13.0,V-0,3.0,61.0,55.0,35.0,"['EP', '(0.13)DOPMPA']",j.polymdegradstab.2019.06.011
3,EP/15% DOPMPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.0,326.3,344.9,352.3,21.2,3.3,30.0,7.8,6.67,15.0,V-0,3.0,56.0,49.0,32.0,"['EP', '(0.15)DOPMPA']",j.polymdegradstab.2019.06.011
