,Samples,Tg based on DSC (C),Tg based on DMA (°C),Td10% (°C),Tmax (°C),Char yield (800 °C) (%),E' at RT (MPa),ve/103 (mol/m3),C (wt%)',N (wt%),O (wt%),P (wt%),Vectors,Ref
0,B1D9/DDM,173.1,176.4,385.5,395.9,19.1,1833.0,7.0,80.98,5.13,13.71,0.18,"['B1D9', 'DDM']",j.compositesb.2020.107926
1,B2D8/DDM,161.6,169.2,376.1,392.1,21.2,1621.0,6.3,76.79,5.06,15.26,0.43,"['B2D8', 'DDM']",j.compositesb.2020.107926
2,B3D7/DDM,155.3,168.9,375.3,389.9,23.3,1575.0,5.2,75.76,5.02,17.45,1.77,"['B3D7', 'DDM']",j.compositesb.2020.107926
3,DGEBA/DDM,175.2,177.8,379.6,385.8,14.9,2287.0,8.8,84.38,4.27,11.35,-,"['DGEBA', 'DDM']",j.compositesb.2020.107926
