,Samples,DGEBA (g),DDM (g),DPHK (g),DOPO (g),P content (wt%),T5%( C),Tmax (°C),RTmax (%/°C),acto (%),TTI (s),PHRR (kW/m²),FIGRA,THR (MJ/m²),TSP (m²),COY/CO2Y (%),av-EHC,Char residue (%),TTI (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,TSP (m²)_err,COY/CO2Y (%)_err,av-EHC_err,Char residue (%)_err,Vectors,Ref
0,1.3%DOPO-EP,80.0,20.0,0.0,1.3,0.19,,,,,,,,,,,,,,,,,,,,"['(0.013)DOPO', 'EP']",j.polymdegradstab.2020.109195
1,2%DPHK-EP,80.0,20.0,2.56,0.0,0.12,384.0,411.0,1.7,18.6,85.0,1160.0,10.7,58.0,17.5,7.9,21.6,22.0,2.0,20.0,0.5,0.5,0.05,0.2,0.5,"['(0.02)DPHK', 'EP']",j.polymdegradstab.2020.109195
2,3%DPHK-EP,80.0,20.0,3.1,0.0,0.19,380.0,409.0,1.5,19.7,,,,,,,,,,,,,,,,"['(0.03)DPHK', 'EP']",j.polymdegradstab.2020.109195
3,4%DPHK-EP,80.0,20.0,4.17,0.0,0.25,378.0,405.0,1.4,21.8,85.0,907.0,7.7,47.5,15.5,9.1,20.2,23.0,2.0,21.0,2.0,0.5,0.1,0.3,0.5,"['(0.04)DPHK', 'EP']",j.polymdegradstab.2020.109195
4,EP,80.0,20.0,0.0,0.0,0.0,384.0,416.0,1.9,10.2,80.0,1367.0,12.1,66.5,22.8,7.4,23.2,10.0,1.0,21.0,1.5,1.6,0.1,0.3,1.0,['EP'],j.polymdegradstab.2020.109195
