,Samples,Heating rate,Tonset (°C),Tpb(°C),AHcure,Unnamed: 6,Ead (KJ mol ¹),A (min⁻¹),Ke (min-1),Unnamed: 1,TID (C) (STD),TD5 (°C) (STD)b,Tmax (°C) (STD),Char yield (STD) (%),Tg (C) (STD),TID (C) (STD)_err,TD5 (°C) (STD)b_err,Tmax (°C) (STD)_err,Char yield (STD) (%)_err,Tg (C) (STD)_err,Vectors,Ref
0,"0,25 GO/EP/TETA",5.0,42.1,90.4,394.2,49.9,50.7,3.56,1.0,,357.0,352.0,387.0,13.0,102.0,4.5,3.5,4.8,1.1,3.4,"['(0.25)GO', 'EP', 'TETA']",j.compscitech.2016.10.014
1,0.25 PVI-g-GO/EP/TETA,5.0,41.7,85.2,405.7,42.4,46.2,3.2,1.2,,375.0,381.0,395.0,18.8,108.0,5.1,6.6,6.1,1.2,4.1,"['(0.25)PVI-g-GO', 'EP', 'TETA']",j.compscitech.2016.10.014
2,EP/TETA,5.0,42.6,92.1,392.1,45.9,49.6,8.76,0.98,,352.0,353.0,385.0,12.4,101.0,5.0,4.0,6.0,0.4,3.0,"['EP', 'TETA']",j.compscitech.2016.10.014
3,"0,25 I-GO/EP/TETA",5.0,42.3,90.2,395.6,49.7,53.2,3.58,1.1,,364.0,367.0,389.0,15.0,104.0,6.1,5.2,3.6,0.3,2.3,"['(0.25)I-GO', 'EP', 'TETA']",j.compscitech.2016.10.014
