,Samples,Reinforcing agent (%),Td3% (°C),Td5% (°C),"Tg, °Cat 11 Hz",Vectors,Ref
0,DGEBA_MWCNT-X100_PXDED,1.0,333.0,341.6,,"['DGEBA', 'MWCNT-X(100)', 'PXDED']",j.compositesb.2011.11.052
1,OGEBA_MWCNT-X100_PXDED,1.0,,,119.9,"['OGEBA', 'MWCNT-X(100)', 'PXDED']",j.compositesb.2011.11.052
2,DGEBA_PXDED,0.0,327.0,337.9,119.9,"['DGEBA', 'PXDED']",j.compositesb.2011.11.052
3,DGEBA_MWCNT_PXDED,1.0,325.9,333.9,119.2,"['DGEBA', 'MWCNT', 'PXDED']",j.compositesb.2011.11.052
4,DGEBA_MWCNT-SP135_PXDED,1.0,335.5,342.5,121.5,"['DGEBA', 'MWCNT-SP(135)', 'PXDED']",j.compositesb.2011.11.052
5,DGEBA_MWCNT-NP9_PXDED,1.0,329.3,337.3,123.4,"['DGEBA', 'MWCNT-NP(9)', 'PXDED']",j.compositesb.2011.11.052
6,DGEBA_MWCNT-COOH_PXDED,1.0,333.4,340.9,127.8,"['DGEBA', 'MWCNT-COOH', 'PXDED']",j.compositesb.2011.11.052
7,DGEBA_MWCNT-COO-SP135_PXDED,1.0,339.3,346.2,122.6,"['DGEBA', 'MWCNT-COO-SP(135)', 'PXDED']",j.compositesb.2011.11.052
8,DGEBA_MWCNT-C0O-X100_PXDED,1.0,333.9,342.9,119.3,"['DGEBA', 'MWCNT-C0O-X100', 'PXDED']",j.compositesb.2011.11.052
9,DGEBA_MWCNT-COO-NP9_PXDED,1.0,333.1,341.5,123.6,"['DGEBA', 'MWCNT-COO-NP(9)', 'PXDED']",j.compositesb.2011.11.052
