,Samples,HRC (J/gk),PHRR (W/g),THR (kJ/g),Tp1 (°C),Tp (°C) Tp2,E (kJ/mol),E (kJ/mol) Ozawa,R2 Kissinger,R2 Ozawa,E (30 °C) (GPa),E (200 °C) (GPa),Tg (°C),ve/10³ (mol/ m³,Tensile strength (MPa),Elongation at break (%),Tensile strength (MPa)_err,Elongation at break (%)_err,Vectors,Ref
0,DGEBA/ DDS,399.1,421.9,29.1,434.4,602.3,60.7,65.5,0.99803,0.99835,2.69,0.05,217.4,2.2,57.2,10.8,2.2,0.6,"['DGEBA', 'DDS']",j.cej.2021.131173
1,DGEL/ DDS,101.0,107.5,24.3,390.1,589.8,64.8,69.0,0.99939,0.99947,3.79,2.07,314.4,1.5,69.2,9.5,1.5,1.2,"['DGEL', 'DDS']",j.cej.2021.131173
