,Samples,Tonset (°C),T5%( C) 2,Tmax2 (°C),Cy700 (%),Element C,Element o,concentration N (%),concentration P (%),TTI (s),PHRR (kW/m²),THR (MJ/m²),EHC (MJ/kg),TSR (m²/m²),TML (%),TTI (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,EHC (MJ/kg)_err,TSR (m²/m²)_err,TML (%)_err,Composition(phr),Content of Cured EPs,DOPO-BAPh (wt%) DOPO-BAPh,Content of P (wt%),Vectors,Ref
0,10DOPO-BAPh/EP,368.3,380.0,404.3,26.8,83.57,12.1,3.82,0.51,53.0,591.0,85.9,31.3,2583.0,85.3,1.0,24.0,8.0,1.3,85.0,4.0,100.0,10.0,7.29,0.5,"['(10)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544
1,15DOPO-BAPh/EP,356.6,364.6,398.4,28.5,82.45,12.1,4.86,0.59,51.0,429.0,78.6,28.7,2541.0,82.8,2.0,22.0,8.0,1.3,75.0,5.0,100.0,15.0,10.6,0.71,"['(15)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544
2,20DOPO-BAPh/EP,341.4,349.4,384.8,31.5,85.86,9.36,4.27,0.52,47.0,266.0,69.1,26.3,2481.0,77.7,2.0,13.0,9.0,1.1,72.0,4.0,100.0,20.0,13.6,0.91,"['(20)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544
3,5DOPO-BAPh/EP,373.8,380.7,417.0,23.5,86.3,9.17,4.26,0.27,54.0,693.0,96.2,33.4,2747.0,88.6,1.0,23.0,11.0,1.6,93.0,5.0,100.0,5.0,3.79,0.26,"['(5)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544
4,DOPO-BAPh,277.2,290.1,413.9,68.0,,,,,,,,,,,,,,,,,,,,,['DOPO-BAPh'],j.polymdegradstab.2021.109544
5,EP,379.5,397.3,428.5,15.6,70.45,26.61,2.94,0.0,59.0,1064.0,97.1,35.9,2952.0,96.8,2.0,60.0,10.0,1.9,98.0,3.0,100.0,0.0,0.0,0.0,['EP'],j.polymdegradstab.2021.109544
