,Samples,Tonset (°C),Tpeak (°C),(J/g),B (°C/min),Tep (°C),Mean (J/g),Mean (J/g)_err,Tc,40 °C,50 °C,60 °C,70 °C,40 °C_err,50 °C_err,60 °C_err,70 °C_err,Eat (kJ/mol),(kJ/mol),A1 (x108 min-1,A2 (x106 min-1,Eat (kJ/mol)_err,(kJ/mol)_err,A1 (x108 min-1_err,A2 (x106 min-1_err,Tc (°C),K1 (min-1),Error,k2 (1/min),Error.1,m,Error.2,n,Error.3,m+n,R2,Reaction exotherm (kJ/mol epoxide) 40°C,Reaction exotherm (kJ/mol epoxide) 50 °C,Reaction exotherm (kJ/mol epoxide) 60°C,Reaction exotherm (kJ/mol epoxide) 70 °C,Reaction exotherm (kJ/mol epoxide) Total,Reaction exotherm (kJ/mol epoxide) 40°C_err,Reaction exotherm (kJ/mol epoxide) 50 °C_err,Reaction exotherm (kJ/mol epoxide) 60°C_err,Reaction exotherm (kJ/mol epoxide) 70 °C_err,Vectors,Ref
0,DGEBA/Jeffamine T-403,76.7,113.8,385.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['DGEBA', 'T403']",j.cej.2012.01.134
1,DGEBA/TAPA,61.5,89.6,505.7,,,,,,,,,,,,,,61.8,57.2,1.36,86.5,3.1,3.1,0.08,5.4,40.0,0.00639,3.4,0.02361,5.0,0.9287,8.4,1.14804,1.7,2.08,0.99528,80.3,88.8,99.7,103.8,113.7,1.6,1.2,1.8,2.0,"['DGEBA', 'TAPA']",j.cej.2012.01.134
2,DGEBA/TAPA,60.8,,505.7,5.0,89.5,,515.7,ac,0.65515,0.73969,0.83488,0.87579,6e-05,8e-05,7e-05,8e-05,61.8,57.2,1.36,86.5,3.1,3.1,0.08,5.4,40.0,0.00639,3.4,0.02361,5.0,0.9287,8.4,1.14804,1.7,2.08,0.99528,80.3,88.8,99.7,103.8,113.7,1.6,1.2,1.8,2.0,"['DGEBA', 'TAPA']",j.cej.2012.01.134
3,DGEBA/PDA,60.4,88.5,488.6,5.0,88.5,,504.1,ac,0.58626,0.75005,0.89441,0.93113,0.0001,7e-05,6e-05,7e-05,70.0,47.9,25.1,3.18,4.3,1.6,1.9,0.12,40.0,0.00496,5.3,0.03213,6.0,0.89158,6.3,1.76128,1.79,2.65,0.99874,63.7,80.7,95.1,97.8,103.0,1.7,1.1,1.6,2.1,"['DGEBA', 'PDA']",j.cej.2012.01.134
